100 nite 33
100 km 33
100 comm 333
100 otim 36
100 hols 0
888 nite 33
888 km 33
888 comm 333
888 otim 33
999 nite 1
111 nite 33
111 km 33
111 comm 333
111 otim 33
112 new 1 
222 hols -6
222 hols 26
222 hols 10
222 hol 10
223 dept 1
333 sal -3001
333 sal 6000
333 sal 1111
334 sal -1 
444 nite 1
444 km 1
444 otim 1
444 comm 1
444 hols 1
444 sal 1
444 xxx 1
555 gone 1
778 nite 1
778 new 2
778 km 1
778 comm 1
778 otim 1
778 hols 1
778 sal 1 
888 dept 4 
889 new 100
997 km 1
999 sal 100 
999 xxx 1 
999 new 1
99999

