0001 SET 1 9999
1001 SET 1 0001
1001 set 2 0002
1001 Set 3 0003
1001 seT 4 0004
1001 set 0 9999
1001 seX 1 9999
2002 ADD 1 0001
2002 add 2 0002
2002 Add 3 0003
2002 adD 4 0004
2002 add 5 9999
2002 adX 1 9999
0002 SET 1 9999
3003 SUB 1 0001
3003 sub 2 0002
3003 Sub 3 0003
3003 suB 4 4000
3003 suX 9 9999 
4004 nil 0 0000
5005 fix 0 5555 
6006 reg 1 0000
7007 reg 0 0000 
6006 nme 0 0000 New Duck
7007 nme 0 0000 
7007 nme 0 0000 very long new name more than 30
8008 st  1 0000
8008 st  0 0000 
8008 st  3 0000
0003 SET 1 9999 
-1

